Province_Raw,ImmCategory,REF_DATE,Year,YearQtr,Admissions,Geo_Level
,Agri-Food Pilot,2015-Q1,2015,2015-Q1,0.0,Unknown
,Atlantic Immigration Pilot Programs,2015-Q1,2015,2015-Q1,0.0,Unknown
,Atlantic Immigration Programs,2015-Q1,2015,2015-Q1,0.0,Unknown
,Canadian Experience,2015-Q1,2015,2015-Q1,5.0,Unknown
,Caregiver,2015-Q1,2015,2015-Q1,,Unknown
,Federal Economic Mobility Pathways Pilot,2015-Q1,2015,2015-Q1,0.0,Unknown
,Skilled Trade,2015-Q1,2015,2015-Q1,0.0,Unknown
,Skilled Worker,2015-Q1,2015,2015-Q1,25.0,Unknown
,Self-Employed,2015-Q1,2015,2015-Q1,0.0,Unknown
,Start-up Business,2015-Q1,2015,2015-Q1,0.0,Unknown
,Provincial Nominee Program,2015-Q1,2015,2015-Q1,85.0,Unknown
,Temporary Resident to Permanent Resident Pathway,2015-Q1,2015,2015-Q1,0.0,Unknown
,Sponsored Children,2015-Q1,2015,2015-Q1,,Unknown
,Sponsored Extended Family Member,2015-Q1,2015,2015-Q1,0.0,Unknown
,Sponsored Parent or Grandparent,2015-Q1,2015,2015-Q1,,Unknown
,Sponsored Spouse or Partner,2015-Q1,2015,2015-Q1,25.0,Unknown
,Blended Sponsorship Refugee,2015-Q1,2015,2015-Q1,,Unknown
,Government-Assisted Refugee,2015-Q1,2015,2015-Q1,45.0,Unknown
,Privately Sponsored Refugee,2015-Q1,2015,2015-Q1,0.0,Unknown
Newfoundland and Labrador - Total,Agri-Food Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Atlantic Immigration Pilot Programs,2015-Q1,2015,2015-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Atlantic Immigration Programs,2015-Q1,2015,2015-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Canadian Experience,2015-Q1,2015,2015-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Caregiver,2015-Q1,2015,2015-Q1,,Provincial
Newfoundland and Labrador - Total,Federal Economic Mobility Pathways Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Skilled Trade,2015-Q1,2015,2015-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Skilled Worker,2015-Q1,2015,2015-Q1,5.0,Provincial
Newfoundland and Labrador - Total,Self-Employed,2015-Q1,2015,2015-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Start-up Business,2015-Q1,2015,2015-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Provincial Nominee Program,2015-Q1,2015,2015-Q1,155.0,Provincial
Newfoundland and Labrador - Total,Temporary Resident to Permanent Resident Pathway,2015-Q1,2015,2015-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Sponsored Children,2015-Q1,2015,2015-Q1,,Provincial
Newfoundland and Labrador - Total,Sponsored Extended Family Member,2015-Q1,2015,2015-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Sponsored Parent or Grandparent,2015-Q1,2015,2015-Q1,,Provincial
Newfoundland and Labrador - Total,Sponsored Spouse or Partner,2015-Q1,2015,2015-Q1,5.0,Provincial
Newfoundland and Labrador - Total,Blended Sponsorship Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
Newfoundland and Labrador - Total,Government-Assisted Refugee,2015-Q1,2015,2015-Q1,25.0,Provincial
Newfoundland and Labrador - Total,Privately Sponsored Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
Prince Edward Island - Total,Agri-Food Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Prince Edward Island - Total,Atlantic Immigration Pilot Programs,2015-Q1,2015,2015-Q1,0.0,Provincial
Prince Edward Island - Total,Atlantic Immigration Programs,2015-Q1,2015,2015-Q1,0.0,Provincial
Prince Edward Island - Total,Canadian Experience,2015-Q1,2015,2015-Q1,25.0,Provincial
Prince Edward Island - Total,Caregiver,2015-Q1,2015,2015-Q1,15.0,Provincial
Prince Edward Island - Total,Federal Economic Mobility Pathways Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Prince Edward Island - Total,Rural and Northern Immigration,2015-Q1,2015,2015-Q1,0.0,Provincial
Prince Edward Island - Total,Skilled Trade,2015-Q1,2015,2015-Q1,5.0,Provincial
Prince Edward Island - Total,Skilled Worker,2015-Q1,2015,2015-Q1,160.0,Provincial
Prince Edward Island - Total,Self-Employed,2015-Q1,2015,2015-Q1,0.0,Provincial
Prince Edward Island - Total,Start-up Business,2015-Q1,2015,2015-Q1,0.0,Provincial
Prince Edward Island - Total,Provincial Nominee Program,2015-Q1,2015,2015-Q1,240.0,Provincial
Prince Edward Island - Total,Temporary Resident to Permanent Resident Pathway,2015-Q1,2015,2015-Q1,0.0,Provincial
Prince Edward Island - Total,Sponsored Children,2015-Q1,2015,2015-Q1,5.0,Provincial
Prince Edward Island - Total,Sponsored Extended Family Member,2015-Q1,2015,2015-Q1,,Provincial
Prince Edward Island - Total,Sponsored Parent or Grandparent,2015-Q1,2015,2015-Q1,10.0,Provincial
Prince Edward Island - Total,Sponsored Spouse or Partner,2015-Q1,2015,2015-Q1,80.0,Provincial
Prince Edward Island - Total,Blended Sponsorship Refugee,2015-Q1,2015,2015-Q1,0.0,Provincial
Prince Edward Island - Total,Government-Assisted Refugee,2015-Q1,2015,2015-Q1,35.0,Provincial
Prince Edward Island - Total,Privately Sponsored Refugee,2015-Q1,2015,2015-Q1,10.0,Provincial
Nova Scotia - Total,Agri-Food Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Nova Scotia - Total,Atlantic Immigration Pilot Programs,2015-Q1,2015,2015-Q1,0.0,Provincial
Nova Scotia - Total,Atlantic Immigration Programs,2015-Q1,2015,2015-Q1,0.0,Provincial
Nova Scotia - Total,Canadian Experience,2015-Q1,2015,2015-Q1,25.0,Provincial
Nova Scotia - Total,Caregiver,2015-Q1,2015,2015-Q1,20.0,Provincial
Nova Scotia - Total,Federal Economic Mobility Pathways Pilot,2015-Q1,2015,2015-Q1,0.0,Provincial
Nova Scotia - Total,Rural and Northern Immigration,2015-Q1,2015,2015-Q1,0.0,Provincial
Nova Scotia - Total,Skilled Trade,2015-Q1,2015,2015-Q1,0.0,Provincial
