YearMonth,pr_admissions_national,employment_thousands,employment_rate,participation_rate,unemployment_rate,cpi_all_items,prime_rate,job_vacancies,avg_offered_hourly_wage,housing_starts_total,gdp_real_millions,hours_worked_millions,avg_weekly_earnings,labour_productivity_index,Year,Month,time_trend,covid_dummy,post_covid,gdp_per_worker
2015-01,12910.0,17813.1,61.5,66.0,6.8,124.3,2.85,408405.0,19.1,16294.583333333334,159130.41666666666,2567699.238392857,23.15139534883721,61.0,2015,1,1.0,0.0,0.0,8.933336514512728
2015-02,16440.0,17827.2,61.5,66.1,6.9,125.4,2.85,408405.0,19.1,16294.583333333334,158916.0,2565514.695535714,23.15139534883721,61.0,2015,2,2.0,0.0,0.0,8.914243403338718
2015-03,21770.0,17854.1,61.6,66.2,6.9,126.3,2.85,408405.0,19.1,16294.583333333334,158824.41666666666,2544994.6026785714,23.15139534883721,61.0,2015,3,3.0,0.0,0.0,8.895683157743413
2015-04,21165.0,17819.4,61.4,66.1,7.0,126.2,2.85,452315.0,18.7,16294.583333333334,158775.66666666666,2563336.240178571,23.15139534883721,61.0,2015,4,4.0,0.0,0.0,8.91027008017479
2015-05,23895.0,17843.7,61.5,66.1,6.9,126.9,2.85,452315.0,18.7,16294.583333333334,158689.66666666666,2568015.788392857,23.15139534883721,61.0,2015,5,5.0,0.0,0.0,8.893316221785092
2015-06,27025.0,17836.7,61.4,66.0,6.9,127.2,2.85,452315.0,18.7,16294.583333333334,159123.16666666666,2592167.944642857,23.15139534883721,61.0,2015,6,6.0,0.0,0.0,8.921110220313548
2015-07,27770.0,17863.3,61.4,66.0,7.0,127.3,2.7,409650.0,18.55,16294.583333333334,159525.83333333334,2573936.751785714,23.15139534883721,61.0,2015,7,7.0,0.0,0.0,8.930367475960956
2015-08,24350.0,17889.0,61.5,66.1,7.1,127.3,2.7,409650.0,18.55,16294.583333333334,159868.33333333334,2594833.8348214286,23.15139534883721,61.0,2015,8,8.0,0.0,0.0,8.936683623083088
2015-09,26770.0,17890.2,61.4,66.1,7.1,127.1,2.7,409650.0,18.55,16294.583333333334,159212.41666666666,2574909.447321429,23.15139534883721,61.0,2015,9,9.0,0.0,0.0,8.899420725685943
2015-10,23990.0,17899.1,61.4,66.0,7.0,127.2,2.7,359080.0,18.9,16294.583333333334,159368.0,2581695.2705357145,23.15139534883721,61.0,2015,10,10.0,0.0,0.0,8.903687894922092
2015-11,20855.0,17872.6,61.3,66.0,7.1,127.1,2.7,359080.0,18.9,16294.583333333334,159751.41666666666,2578368.0169642856,23.15139534883721,61.0,2015,11,11.0,0.0,0.0,8.938342304234787
2015-12,24890.0,17867.4,61.2,66.0,7.3,126.5,2.7,359080.0,18.9,16294.583333333334,159935.91666666666,2578283.661607143,23.15139534883721,61.0,2015,12,12.0,0.0,0.0,8.951269724003865
2016-01,27280.0,17871.6,61.2,65.9,7.2,126.8,2.7,331520.0,19.85,16493.0,160911.33333333334,2594716.433035714,23.20551724137931,61.3,2016,1,13.0,0.0,0.0,9.003745234524796
2016-02,32035.0,17889.0,61.2,66.0,7.3,127.1,2.7,331520.0,19.85,16493.0,160433.33333333334,2582339.675892857,23.20551724137931,61.3,2016,2,14.0,0.0,0.0,8.968267277842996
2016-03,26925.0,17892.8,61.1,65.9,7.2,127.9,2.7,331520.0,19.85,16493.0,159831.41666666666,2581478.7294642855,23.20551724137931,61.3,2016,3,15.0,0.0,0.0,8.93272247309905
2016-04,28125.0,17919.7,61.2,66.0,7.3,128.3,2.7,392420.0,19.4,16493.0,160184.83333333334,2570908.6553571424,23.20551724137931,61.3,2016,4,16.0,0.0,0.0,8.939035437721241
