Province,Economic,Family,Refugee,Total,E_share,F_share,R_share
Quebec,872585.0,448920.0,152600.0,1474105.0,0.5919422293527259,0.3045373294304001,0.10352044121687397
Alberta,337515.0,159930.0,35940.0,533385.0,0.6327793245029387,0.2998397030287691,0.06738097246829214
New Brunswick,353390.0,122715.0,43225.0,519330.0,0.6804729170277087,0.23629484143030444,0.08323224154198679
Saskatchewan,263210.0,150530.0,77725.0,491465.0,0.5355620440926617,0.3062883419979042,0.15814961390943405
Ontario,143410.0,29990.0,21540.0,194940.0,0.7356622550528368,0.15384220785882835,0.11049553708833487
Manitoba,141410.0,21750.0,13245.0,176405.0,0.8016212692384003,0.12329582494827244,0.07508290581332729
Prince Edward Island,68865.0,9485.0,9535.0,87885.0,0.7835808158388804,0.10792512943050578,0.10849405473061387
Nova Scotia,65570.0,5210.0,7945.0,78725.0,0.8328993331216259,0.06617973959987297,0.1009209272785011
Newfoundland and Labrador,24300.0,1305.0,1070.0,26675.0,0.9109653233364574,0.04892221180880975,0.040112464854732896
British Columbia,4075.0,830.0,40.0,4945.0,0.8240647118301314,0.1678463094034378,0.008088978766430738
Yukon,1905.0,690.0,45.0,2640.0,0.7215909090909091,0.26136363636363635,0.017045454545454544
Northwest Territories,70.0,140.0,5.0,215.0,0.32558139534883723,0.6511627906976745,0.023255813953488372
