,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
pr_admissions_national,0.3231,0.09,0.0007,0.7417,0.2374,-0.5296,0.0143,0.0154,0.0038,-0.0055,0.0
gdp_real_millions,0.4102,-0.0296,-0.15,-0.0617,0.0738,0.1813,-0.2678,-0.303,0.7764,0.0014,-0.0
employment_thousands,0.4039,0.017,-0.223,-0.1014,0.1109,0.1302,-0.1921,-0.5904,-0.6014,-0.0132,0.0
unemployment_rate,-0.252,-0.3722,-0.3181,0.1488,0.4893,0.2076,0.1566,-0.0308,0.0152,0.6053,-0.0
labour_productivity_index,0.215,-0.4321,0.3148,-0.2731,0.17,-0.2462,0.0223,0.0541,-0.0208,0.0009,0.7071
hours_worked_millions,0.3915,0.1069,-0.2086,-0.073,0.2171,0.2628,-0.3313,0.7314,-0.1597,-0.0016,0.0
prime_rate,0.3312,0.1561,-0.4307,-0.2881,-0.0708,-0.1845,0.7397,0.0844,0.0627,0.0102,-0.0
employment_rate,0.154,0.4792,0.3625,-0.1766,-0.1056,-0.1293,-0.0774,-0.0231,-0.0039,0.7413,-0.0
participation_rate,-0.1316,0.4444,0.2783,-0.1485,0.7358,0.1229,0.1812,-0.0992,0.0541,-0.289,0.0
job_vacancies,0.323,-0.1259,0.4364,0.3504,-0.1547,0.6086,0.4122,0.009,-0.0451,0.0116,0.0
labour_productivity_index,0.215,-0.4321,0.3148,-0.2731,0.17,-0.2462,0.0223,0.0541,-0.0208,0.0009,-0.7071
