dependent_variable,term,coefficient,t_value,p_value
gdp_real_millions,const,152213.12615156,121.4648,0.0
gdp_real_millions,pr_admissions_national,0.14203229,2.9448,0.003232
gdp_real_millions,covid_dummy,-8339.50001443,-2.985,0.002835
gdp_real_millions,time_trend,244.07884827,23.1495,0.0
gdp_real_millions,prime_rate,1061.12862327,5.5235,0.0
gdp_real_millions,M02,65.10875164,0.0401,0.968015
gdp_real_millions,M03,-841.7354552,-0.662,0.507942
gdp_real_millions,M04,-2083.29459619,-1.0888,0.276255
gdp_real_millions,M05,-2226.17689808,-1.3601,0.173808
gdp_real_millions,M06,-1761.82315488,-1.2556,0.209254
gdp_real_millions,M07,-1245.89811903,-0.91,0.362841
gdp_real_millions,M08,-333.00504625,-0.2612,0.793953
gdp_real_millions,M09,-600.93109109,-0.4511,0.651944
gdp_real_millions,M10,-962.5691583,-0.8085,0.418807
gdp_real_millions,M11,-480.71555976,-0.4201,0.674377
gdp_real_millions,M12,-415.46439851,-0.3515,0.725223
employment_thousands,const,16979.30951966,100.5954,0.0
employment_thousands,pr_admissions_national,0.01056326,1.9361,0.052852
employment_thousands,covid_dummy,-963.88972065,-3.1018,0.001923
employment_thousands,time_trend,19.99842245,14.163,0.0
employment_thousands,prime_rate,166.62978995,7.6638,0.0
employment_thousands,M02,43.54082079,0.2316,0.816834
employment_thousands,M03,-30.52624031,-0.2009,0.840742
employment_thousands,M04,-185.45567705,-0.8945,0.371048
employment_thousands,M05,-202.85530026,-1.0147,0.310262
employment_thousands,M06,-123.4900143,-0.7588,0.447949
employment_thousands,M07,-91.00483135,-0.5804,0.561613
employment_thousands,M08,-17.20282526,-0.1156,0.907946
employment_thousands,M09,10.0092136,0.0614,0.951046
employment_thousands,M10,-38.49238845,-0.2658,0.79043
employment_thousands,M11,8.00567237,0.0553,0.955871
employment_thousands,M12,24.65667479,0.1665,0.867786
unemployment_rate,const,8.88291264,18.8088,0.0
unemployment_rate,pr_admissions_national,-7.199e-05,-4.9974,1e-06
unemployment_rate,covid_dummy,2.05079334,2.4265,0.015247
unemployment_rate,time_trend,0.0166774,5.175,0.0
unemployment_rate,prime_rate,-0.38253692,-5.5585,0.0
unemployment_rate,M02,-0.06845238,-0.1223,0.902633
unemployment_rate,M03,0.07530062,0.1621,0.871217
unemployment_rate,M04,0.32844841,0.6128,0.539997
unemployment_rate,M05,0.63758316,1.0933,0.274258
unemployment_rate,M06,0.69815719,1.3157,0.188271
unemployment_rate,M07,0.47922633,1.008,0.31346
unemployment_rate,M08,0.06343662,0.1399,0.88876
unemployment_rate,M09,0.11893326,0.2581,0.79634
unemployment_rate,M10,0.05394049,0.1255,0.900088
unemployment_rate,M11,-0.2044008,-0.4572,0.647502
unemployment_rate,M12,-0.24769651,-0.5437,0.586615
hours_worked_millions,const,2424770.54639276,79.2797,0.0
hours_worked_millions,pr_admissions_national,2.667205,2.3581,0.018368
hours_worked_millions,covid_dummy,-242258.29020921,-3.2885,0.001007
hours_worked_millions,time_trend,2069.23047121,8.1197,0.0
hours_worked_millions,prime_rate,26817.74275901,6.692,0.0
hours_worked_millions,M02,6583.42097194,0.1689,0.865889
hours_worked_millions,M03,-21971.14125195,-0.7003,0.483734
hours_worked_millions,M04,-48097.91489317,-1.0596,0.289326
hours_worked_millions,M05,-43247.90603805,-1.0843,0.278237
hours_worked_millions,M06,-30989.15551059,-0.9441,0.345096
hours_worked_millions,M07,-18564.14273,-0.5786,0.56283
hours_worked_millions,M08,3917.64212262,0.1245,0.900957
hours_worked_millions,M09,-1838.17018906,-0.0544,0.956594
hours_worked_millions,M10,-14875.11180356,-0.5341,0.593248
hours_worked_millions,M11,-2476.49909172,-0.0916,0.926981
hours_worked_millions,M12,-1634.53694606,-0.0596,0.952471
gdp_per_worker,const,8.98153248,286.6583,0.0
gdp_per_worker,pr_admissions_national,2.34e-06,2.9727,0.002952
gdp_per_worker,covid_dummy,0.03052899,1.012,0.311515
gdp_per_worker,time_trend,0.00326047,12.5474,0.0
gdp_per_worker,prime_rate,-0.02517889,-6.0234,0.0
gdp_per_worker,M02,-0.01845777,-0.7452,0.456164
gdp_per_worker,M03,-0.03169184,-1.1149,0.264887
gdp_per_worker,M04,-0.02295395,-0.8288,0.407208
gdp_per_worker,M05,-0.01914077,-0.596,0.551183
gdp_per_worker,M06,-0.03345475,-1.1581,0.246835
gdp_per_worker,M07,-0.02252775,-0.865,0.387018
gdp_per_worker,M08,-0.01058302,-0.3878,0.698129
gdp_per_worker,M09,-0.03818855,-1.3233,0.185731
gdp_per_worker,M10,-0.03322316,-1.133,0.25721
gdp_per_worker,M11,-0.02967645,-1.0623,0.288092
gdp_per_worker,M12,-0.03370605,-1.2062,0.227737
